data_id,road_id,vehicle_id,origin,origin_state,destination,destination_state,origin_lat,origin_lon,destination_lat,destination_lon,distance_km,slope_deg,elevation_m,rainfall_mm_24h,temperature_c,humidity_pct,wind_speed_kmph,soil_moisture_pct,forecast_disruption_risk_pct,past_landslides_12m,past_floods_12m,accidents_12m,bridge_capacity_tonnes,congestion_index,traffic_volume_vph,vehicle_speed_kmph,travel_time_hr,eta_min,delay_min,cargo_quantity_units,current_stock_units,daily_consumption_units,forecast_3day_demand_units,shortage_flag,weather_risk,terrain_risk,road_condition_risk,incident_risk,traffic_risk,historical_risk,dynamic_risk_score,accessibility_score,earthquake_magnitude,earthquake_depth_km,pga_g,pgv_cm_s,wave_amplitude_mm,dominant_frequency_hz,ground_displacement_cm,wave_arrival_time_sec,route_safety_index,stock_days_remaining,estimated_fuel_liters,delivery_urgency_score,combined_transport_risk,road_type,road_condition,weather_condition,incident_type,incident_severity,cargo_type,supply_priority,bridge_condition,earthquake_transport_impact,verification_status,risk_level
DATA_00001,ROAD_858,VEH_9935,Guwahati,Assam,Shillong,Meghalaya,25.586938832629418,91.6328827295279,25.02979721943807,91.78422936724468,136.23171626377336,26.298218341399583,145.11114846256817,4.501935940080049,14.970941267166213,79.24479970007854,34.971781433176915,35.43084354284877,57.1412547100727,2,1,3,43.330065983723934,0.10519900774244882,1750,27.982965818844505,2.824379189844264,172,19,1081,13509,989,1737,0,0.4039418405098699,0.38718350438770277,0.37516457798317693,0.3116166937776105,0.13476035433847777,0.467539903737474,23.737831399724655,0.89172152902112,2.90998070468603,13.152007923138328,0.07302441283955469,6.5703873467347655,6.360670035045546,8.969065731431261,1.8081751308348826,9.807214756416498,0.24868860417661864,6.951369867109391,198.94037667745567,0.8896550644625303,78.42541768121175,National Highway,at_risk,heavy_rain,accident,high,essential_goods,high,good,low,verified,Low
DATA_00002,ROAD_275,VEH_9751,Guwahati,Assam,Shillong,Meghalaya,26.22912679795035,91.24510374064289,25.37945544175765,92.78638035582757,167.19994476644135,8.180855691931223,1046.8145644168985,63.94872604095387,27.115356274746865,87.92833640854144,47.67999513504346,36.03336503748731,12.568019512323021,5,2,10,26.04085668206787,0.31419270078056216,532,65.65680620927725,3.6194902831317624,191,27,2884,9179,1110,4658,0,0.311904133198442,0.29730200615518676,0.5490945073305207,0.31019328681834824,0.5676687921788325,0.8182583068819816,42.958035359827804,0.36449056936796254,4.936524022667953,49.90150425980441,0.2662534463937056,10.680999579852825,1.0909122393031803,1.4240473788226111,0.5482456517532958,20.68615104257725,0.7544555550540748,4.799439701197157,39.29373388419035,0.4671335005545757,89.68971041920774,District Road,blocked,clear,none,high,essential_goods,high,good,low,verified,Medium
DATA_00003,ROAD_996,VEH_5315,Guwahati,Assam,Shillong,Meghalaya,26.471888098870114,92.1429432985781,25.507681674604324,91.63833406963701,163.81904452027604,31.206751840982946,1530.837891893194,61.23158514558814,22.691572049440857,58.950999579412986,25.56526189251314,31.308432502720734,86.27997981228022,2,3,2,47.28519282163961,0.8347947955165619,1326,36.207802850233655,0.6071220831220776,215,39,1180,1949,793,5547,0,0.16852276165430302,0.48879237065329106,0.1553700147747069,0.7084817322057853,0.7126675434455902,0.20271317159981025,48.26976646691119,0.6123526951212079,6.31526371008432,20.602265157602364,0.19241500840509845,17.57622778061989,4.346751813968692,2.9061838489787384,2.6964804438972916,23.248276727249404,0.3408057443727871,3.8054466217080547,248.9086052487013,0.6549146403476174,45.048006713160326,Rural Road,open,rain,landslide,low,essential_goods,high,good,low,verified,High
DATA_00004,ROAD_160,VEH_4750,Guwahati,Assam,Shillong,Meghalaya,25.567400328110306,91.04711943707953,25.3304284890805,92.16840295575116,84.04977071184581,14.847251361603302,925.2046485558343,105.895569322302,23.480848284868866,82.55086546464369,53.53106913274057,60.33481548046299,29.43977939165796,1,4,3,31.55405300306078,0.42564796918874925,293,24.846540711441165,2.8707815032350763,246,52,2112,12945,410,1706,0,0.42209702568181506,0.3714420843159706,0.7893380290822328,0.2989250671362285,0.2521671267526492,0.45889083826650556,44.531714788408294,0.40890885850020536,5.331363786193816,19.99225791528402,0.022732518814335544,18.542046386244245,4.542681301523879,8.752141942856476,2.7516265622492404,6.264708238122031,0.8994977278889087,8.524248265719567,243.02415788906904,0.8484568881056893,77.89565875314443,State Highway,at_risk,storm,accident,moderate,essential_goods,high,good,low,verified,Critical
DATA_00005,ROAD_902,VEH_8454,Guwahati,Assam,Shillong,Meghalaya,25.78524922894692,92.04488725540024,25.730505317415467,92.51836998702957,172.2304017486714,34.856714973148186,927.3413998123601,162.43971579189875,14.747446681690928,59.79654042863787,8.216581060401467,71.50160251523303,14.876605718121265,1,3,0,25.976168341940525,0.14011386981116286,1076,45.14251914597568,5.18995940626557,110,7,2280,2312,680,1461,0,0.6401700428832722,0.28816311600074496,0.19590929115769937,0.8122298513035501,0.2969722782308999,0.575615322826753,58.35670572324722,0.5144186865019044,3.560812232688608,33.34689157164899,0.3944173606362959,10.932871595107219,9.360121325816987,2.8383327948118278,3.580959003947074,10.96714881539615,0.47705009275387816,7.0452120066397415,92.4993429547215,0.4213240373902978,70.14915939315216,National Highway,open,storm,flood,low,essential_goods,high,good,low,verified,Low
DATA_00006,ROAD_478,VEH_5669,Guwahati,Assam,Shillong,Meghalaya,25.657746832357233,92.25061743195971,25.70353992508737,92.29518109544374,247.06360463524598,4.783907401786054,1211.7597401082455,38.36777620806727,10.195577678803948,86.76968608019578,21.465831370998785,66.43721004762541,85.11440031416831,2,1,5,19.70018900376787,0.19234293633528177,319,57.12083419904994,1.3549635037624475,174,77,1062,12757,1002,2567,1,0.5043272464783898,0.30089700165591526,0.8265272369748575,0.14063911493002454,0.6074275578473554,0.7634784714977755,18.0860733259335,0.4501674039538161,6.017080969938171,15.23278642806809,0.35472838600084705,19.616161122747883,1.7835033674840843,4.976519606747655,3.5283372337999537,19.02267161936866,0.2783117164125345,9.505458451419752,180.4794153450722,0.3043379998349637,12.882251044866448,District Road,blocked,rain,accident,moderate,essential_goods,high,good,low,verified,Medium
DATA_00007,ROAD_462,VEH_7658,Guwahati,Assam,Shillong,Meghalaya,26.47383702263729,92.12421641671531,25.925763822569557,91.80775853189816,57.375406433100885,3.5894966104165977,1459.8079508417243,65.6372727589061,14.426309258009532,68.55324846592089,14.864836488001385,84.7141106669082,72.59091969181054,0,2,3,29.409960829304378,0.6359257034305574,1605,60.53746582871945,1.9674314027695963,85,48,3772,1634,1263,2722,0,0.7532692844775432,0.46824258774315364,0.34415269387088043,0.7362763993222895,0.2820763899262163,0.11893154776116122,28.519085182939605,0.4461964633982799,5.1677336425421725,44.574117681211455,0.2791853415580191,19.37089297691886,2.9354249286743404,6.773335647468649,1.9983919218003043,29.528742179956502,0.5753510127351054,9.453134262922442,50.95189416657121,0.8792804277155595,24.28542529379709,District Road,open,clear,flood,critical,essential_goods,high,good,low,verified,High
DATA_00008,ROAD_294,VEH_5173,Guwahati,Assam,Shillong,Meghalaya,25.54438653371323,91.65408627318246,25.519920348566586,92.54846413061013,177.97714379034113,15.13611024383241,1698.4473046758408,141.55707207666273,28.42594233725751,58.866580809578046,28.72135697937428,86.421214017992,83.66166849744322,3,4,8,36.81043934812432,0.6307099810124355,355,55.98771315069751,2.1517724751619527,188,85,1872,6344,1124,3322,0,0.253472074392118,0.6319435473702172,0.4033162216980334,0.698507648127112,0.23922187456795518,0.5552842038926474,43.4252618130714,0.8252938769780431,6.098018931644798,22.15499797073415,0.06394539793114558,4.993471012770197,7.9004365092802855,6.459954134317864,1.6112461486826906,16.044650420948823,0.6729390632330698,5.6005659718712835,203.59046479885046,0.8718824025781253,68.87691567521773,National Highway,at_risk,heavy_rain,none,moderate,essential_goods,high,good,low,verified,Critical
DATA_00009,ROAD_725,VEH_2193,Guwahati,Assam,Shillong,Meghalaya,25.95541616838009,92.32920536357648,25.575670899409317,92.43384969014868,108.31504750033281,27.56623548117235,779.409866890114,40.43531987951189,13.689283627282455,80.94300858862337,54.09629044162516,80.2308395795765,80.83721644078928,1,1,0,42.24471423685638,0.2750729094498555,1746,67.898302113977,3.3487676274405747,55,71,1220,14899,548,4639,0,0.7411332813778116,0.6340621860690825,0.8903139624531584,0.5763618547755358,0.8600316867545248,0.8131407406483496,57.8856625933234,0.7394554709569754,6.435744091127406,30.19112659297608,0.037561212875248204,16.780814224706887,5.569145115986119,9.07487292909936,3.7182772107979245,16.866860920576332,0.38143408392551353,3.225157637586936,168.47382327463515,0.7360695790080158,51.70398502623857,State Highway,at_risk,storm,none,high,essential_goods,high,good,low,verified,Low
DATA_00010,ROAD_256,VEH_4505,Guwahati,Assam,Shillong,Meghalaya,25.564228850713878,91.61139905449988,25.542611140503915,92.0405065043341,67.57190958831436,10.910755964556142,814.2439802148235,60.45255659183651,32.620961958504424,76.28357363919014,43.25376425738824,79.97124226127539,71.24756608944556,4,0,2,28.313336012469907,0.10471686686719446,820,34.93063261861917,2.644926564350454,244,68,3261,13036,1418,5841,0,0.49058358204020036,0.31834824941060524,0.4885135950388003,0.41108576259690244,0.6350988964983337,0.7385138595361511,65.69269643391021,0.8303792472969189,4.032141169725353,46.78166482675904,0.0773156500449729,19.633717572859542,5.434411569418543,9.162359763280914,2.9594638781395544,21.57499392090403,0.25876322351340014,4.857514926949854,220.04155500890425,0.3272103185594025,30.812505113544375,District Road,open,storm,pothole,high,essential_goods,high,good,low,verified,Medium
